日期,渠道名称,第7日留存率
2016/1/1,渠道A,0.08
2016/1/1,渠道H,0.037
2016/1/2,渠道A,0.107
2016/1/2,渠道H,0.059
2016/1/3,渠道A,0.116
2016/1/3,渠道H,0.052
2016/1/4,渠道A,0.108
2016/1/4,渠道H,0.059
2016/1/5,渠道A,0.115
2016/1/5,渠道H,0.055
2016/1/6,渠道A,0.116
2016/1/6,渠道H,0.05
2016/1/7,渠道A,0.115
2016/1/7,渠道H,0.054
2016/1/8,渠道A,0.115
2016/1/8,渠道H,0.058
2016/1/9,渠道A,0.126
2016/1/9,渠道H,0.067
2016/1/10,渠道A,0.125
2016/1/10,渠道H,0.057
2016/1/11,渠道A,0.116
2016/1/11,渠道H,0.051
2016/1/12,渠道A,0.115
2016/1/12,渠道H,0.062
2016/1/13,渠道A,0.121
2016/1/13,渠道H,0.052
2016/1/14,渠道A,0.123
2016/1/14,渠道H,0.066
2016/1/15,渠道A,0.124
2016/1/15,渠道H,0.054
2016/1/16,渠道A,0.118
2016/1/16,渠道H,0.046
2016/1/17,渠道A,0.116
2016/1/17,渠道H,0.058
2016/1/18,渠道A,0.118
2016/1/18,渠道H,0.054
2016/1/19,渠道A,0.115
2016/1/19,渠道H,0.056
2016/1/20,渠道A,0.111
2016/1/20,渠道H,0.057
2016/1/21,渠道A,0.106
2016/1/21,渠道H,0.041
2016/1/22,渠道A,0.099
2016/1/22,渠道H,0.046
2016/1/23,渠道A,0.094
2016/1/23,渠道H,0.047
2016/1/24,渠道A,0.084
2016/1/24,渠道H,0.05
2016/1/25,渠道A,0.083
2016/1/25,渠道H,0.052
2016/1/26,渠道A,0.081
2016/1/26,渠道H,0.05
2016/1/27,渠道A,0.079
2016/1/27,渠道H,0.045
2016/1/28,渠道A,0.081
2016/1/28,渠道H,0.037
2016/1/29,渠道A,0.077
2016/1/29,渠道H,0.043
2016/1/30,渠道A,0.079
2016/1/30,渠道H,0.037
2016/1/31,渠道A,0.083
2016/1/31,渠道H,0.045
