date,channel_name,newuser,actionuser,retention_rate
2016/1/1,渠道H,3491,130,0.037
2016/1/2,渠道H,3136,184,0.059
2016/1/3,渠道H,2481,128,0.052
2016/1/4,渠道H,1369,81,0.059
2016/1/5,渠道H,1417,78,0.055
2016/1/6,渠道H,1348,67,0.05
2016/1/7,渠道H,1394,75,0.054
2016/1/8,渠道H,1789,104,0.058
2016/1/9,渠道H,2741,185,0.067
2016/1/10,渠道H,2496,143,0.057
2016/1/11,渠道H,1539,79,0.051
2016/1/12,渠道H,1528,95,0.062
2016/1/13,渠道H,1510,79,0.052
2016/1/14,渠道H,1657,109,0.066
2016/1/15,渠道H,1933,105,0.054
2016/1/16,渠道H,2800,129,0.046
2016/1/17,渠道H,2711,156,0.058
2016/1/18,渠道H,1887,102,0.054
2016/1/19,渠道H,2028,114,0.056
2016/1/20,渠道H,2352,134,0.057
2016/1/21,渠道H,2586,107,0.041
2016/1/22,渠道H,2993,139,0.046
2016/1/23,渠道H,3173,149,0.047
2016/1/24,渠道H,3078,155,0.05
2016/1/25,渠道H,2673,138,0.052
2016/1/26,渠道H,2948,146,0.05
2016/1/27,渠道H,3151,141,0.045
2016/1/28,渠道H,3691,137,0.037
2016/1/29,渠道H,4275,184,0.043
2016/1/30,渠道H,4846,180,0.037
2016/1/31,渠道H,4881,218,0.045
