日期,应收,实收,ARPU(应收),ARPPU(应收),ARPU(实收),ARPPU(实收)
08/01,5137.5,2936.5,0.83,42.46,0.48,24.27
08/02,3196,1871.8,0.53,25.17,0.31,14.74
08/03,3068.3,1320.9,0.5,26.45,0.22,11.39
08/04,3111.9,1707.4,0.52,25.1,0.29,13.77
08/05,4334.4,2573.4,0.73,37.05,0.44,21.99
08/06,2330.9,190.2,0.4,21.78,0.03,1.78
08/07,3254.3,1614.8,0.56,29.06,0.28,14.42
08/08,1919.2,1198.7,0.35,21.32,0.22,13.32
08/09,3183.2,1329.1,0.59,32.82,0.25,13.7
08/10,2551.8,1143.4,0.46,23.63,0.21,10.59
08/11,2739.4,1749.6,0.49,22.83,0.31,14.58
08/12,2628.7,1709.6,0.47,24.34,0.3,15.83
08/13,2734.5,,0.47,24.2,,
08/14,4013.5,1935.9,0.71,28.26,0.34,13.63
08/15,3353.2,1434.3,0.6,31.34,0.25,13.4
08/16,2280,1473.3,0.41,25.62,0.26,16.55
08/17,3536.5,2262.6,0.62,32.44,0.4,20.76
08/18,3278.8,1528.4,0.57,27.55,0.27,12.84
08/19,3110.4,1260.6,0.55,32.74,0.22,13.27
08/20,2534.9,1493.5,0.44,23.47,0.26,13.83
08/21,3341.7,2050.7,0.57,27.39,0.35,16.81
08/22,2688.4,1911.3,0.48,23.58,0.34,16.77
08/23,2685.5,1845.1,0.49,24.41,0.34,16.77
08/24,3009.5,1893.9,0.56,24.87,0.35,15.65
08/25,3167.3,1960.2,0.57,29.6,0.35,18.32
08/26,3525.1,2078.4,0.65,32.64,0.38,19.24
08/27,2613.9,1362.7,0.47,20.91,0.24,10.9
08/28,2781,2006.5,0.5,22.07,0.36,15.92
08/29,2503.6,1650.7,0.48,27.51,0.32,18.14
08/30,2105.5,1641.9,0.4,20.85,0.31,16.26
08/31,2419.3,1731.8,0.5,21.04,0.36,15.06
